EVENTID,TYPE,AUTHOR,DATE,TIME,LAT,LON,DEPTH,DEPFIX,AUTHOR,TYPE,MAG,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Extra_10,Extra_11,Extra_12,Extra_13,Extra_14,Extra_15,Extra_16,Extra_17,Extra_18,Extra_19,Extra_20,Extra_21,Extra_22,Extra_23,Extra_24,Extra_25,Extra_26,Extra_27,Extra_28,Extra_29,Extra_30,Extra_31,Extra_32,Extra_33,Extra_34,Extra_35,Extra_36,Extra_37,Extra_38,Extra_39,Extra_40,Extra_41,Extra_42,Extra_43,Extra_44,Extra_45,Extra_46,Extra_47,Extra_48,Extra_49,Extra_50,Extra_51,Extra_52,Extra_53,Extra_54,Extra_55,Extra_56,Extra_57,Extra_58,Extra_59,Extra_60,Extra_61,Extra_62,Extra_63,Extra_64,Extra_65,Extra_66,Extra_67,Extra_68,Extra_69,Extra_70,Extra_71,Extra_72,Extra_73,Extra_74,Extra_75,Extra_76,Extra_77,Extra_78,Extra_79,Extra_80,Extra_81,Extra_82,Extra_83,Extra_84,Extra_85,Extra_86,Extra_87,Extra_88,Extra_89,Extra_90,Extra_91,Extra_92,Extra_93,Extra_94,Extra_95,Extra_96,Extra_97,Extra_98,Extra_99,Extra_100,Extra_101,Extra_102,Extra_103,Extra_104,Extra_105,Extra_106,Extra_107,Extra_108,Extra_109,Extra_110
 16957826,ke  ,ISC      ,30-08-1904,11:43:37.59, 25.5166,  97.0211,15.0,TRUE  ,ABE1     ,mB    ,7.6,AN2      ,Ms    , 6.8,BJI      ,Ms    , 6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   914281,ke  ,GUTE     ,31-08-1906,14:57:30   , 27.0000,  97.0000,100.0,      ,PAS      ,MS    ,7.0,ABE1     ,mB    , 6.7,GUTE     ,UK    , 7.0,B&D      ,UK    , 7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 16957984,ke  ,ISC      ,09-02-1908,18:13:17.58, 29.2781, 100.6556,15.0,TRUE  ,ISC      ,MS    ,6.7,BJI      ,Ms    , 7.1,B&D      ,UK    , 7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 16958007,ke  ,ISC      ,12-12-1908,12:54:57.27, 26.9477,  96.7734,15.0,TRUE  ,ISC      ,MS    ,7.0,PAS      ,MS    , 7.5,ABE1     ,mB    , 7.6,AN2      ,Ms    , 7.0,BJI      ,Ms    , 7.0,GUTE     ,UK    , 7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 16958191,ke  ,ISC      ,23-05-1912,02:24:04.06, 21.0361,  96.7366,15.0,TRUE  ,ISC      ,MS    ,7.5,PAS      ,MS    , 8.0,ABE1     ,mB    , 7.3,AN2      ,Ms    , 7.7,P&S      ,Mw    , 7.7,GUTE     ,UK    , 8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   914108,ke  ,ISC      ,21-12-1913,15:37:56.50, 24.2449, 102.2274,15.0,TRUE  ,ISC      ,MS    ,6.6,P&S      ,Ms    , 7.1,AN1      ,Ms    , 7.2,P&S      ,Mw    , 7.2,B&D      ,UK    , 7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   913976,ke  ,GUTE     ,28-03-1914,10:44:48   , 25.0000,  99.0000,100.0,      ,PAS      ,MS    ,6.9,BJI      ,Ms    , 6.6,GUTE     ,UK    , 6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   913954,ke  ,ISC      ,03-12-1915,02:39:24.54, 27.6997,  91.6401,15.0,TRUE  ,ISC      ,MS    ,6.5,AN1      ,Ms    , 7.0,BJI      ,Ms    , 7.0,B&D      ,UK    , 7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   913196,ke  ,ISC      ,08-07-1918,10:22:08.90, 24.5990,  90.8528,15.0,TRUE  ,ISC      ,MS    ,7.2,PAS      ,MS    , 7.6,ABE1     ,mB    , 7.6,P&S      ,Ms    , 7.4,ABE1     ,Ms    , 7.6,P&S      ,Mw    , 7.5,B&D      ,UK    , 7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   911885,ke  ,ISC      ,02-05-1922,11:10:53.44, 20.0485,  98.2534,35.0,TRUE  ,ISC      ,MS    ,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   911420,ke  ,ISC      ,22-06-1923,06:44:40.31, 22.8451,  98.7111,25.0,TRUE  ,ISC      ,MS    ,7.3,PAS      ,MS    , 7.3,ABE1     ,mB    , 6.3,P&S      ,Ms    , 7.1,ABE1     ,Ms    , 7.3,P&S      ,Mw    , 7.2,B&D      ,UK    , 7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   911634,ke  ,ISC      ,09-09-1923,22:03:46.70, 24.9372,  90.7207,15.0,TRUE  ,ISC      ,MS    ,6.9,PAS      ,MS    , 7.1,ABE1     ,Ms    , 7.1,GUTE     ,UK    , 7.1,B&D      ,UK    , 7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   909833,ke  ,GUTE     ,10-05-1926,08:19:10   , 26.0000,  97.0000,80.0,      ,PAS      ,MS    ,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   909854,ke  ,GUTE     ,29-05-1926,22:37:32   , 15.0000,  92.0000,35.0,TRUE  ,PAS      ,MS    ,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   909145,ke  ,GUTE     ,15-03-1927,16:56:32   , 24.5000,  95.0000,130.0,      ,PAS      ,MS    ,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   908257,ke  ,ISC      ,08-08-1929,12:57:18.02, 19.3169,  95.8375,15.0,TRUE  ,ISC      ,MS    ,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   908352,ke  ,ISC      ,16-10-1929,20:27:37.51, 25.9237,  98.0525,15.0,TRUE  ,ISC      ,MS    ,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   907341,ke  ,ISC      ,28-04-1930,18:34:41.13, 25.4850,  98.4523,35.0,TRUE  ,ISC      ,MS    ,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   907352,ke  ,ISC      ,05-05-1930,13:46:01.79, 17.8596,  96.4300,35.0,TRUE  ,ISC      ,MS    ,7.5,PAS      ,MS    , 7.3,ABE1     ,mB    , 7.0,P&S      ,Ms    , 7.2,ABE1     ,Ms    , 7.4,P&S      ,Mw    , 7.2,B&D      ,UK    , 7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   907472,ke  ,ISC      ,02-07-1930,21:03:43.89, 25.9288,  90.1765,15.0,TRUE  ,ISC      ,MS    ,7.2,PAS      ,MS    , 7.1,ABE1     ,mB    , 7.0,ABE1     ,Ms    , 7.1,GUTE     ,UK    , 7.1,B&D      ,UK    , 7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   907598,ke  ,ISC      ,21-09-1930,23:04:16.63, 25.8059,  98.6093,15.0,TRUE  ,ISC      ,MS    ,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
